id,rate,score,title
ujcjhdqASXV5G1S4Gemq3A,3.5,96,chinese
lOSf40Yd3s29fY5bj72IOw,4,86,thai
F4YXeDcxJbXNnGTWcAv4_g,3.5,69,thai
cxsx1IG_FKKqORs1f9tfFQ,4,92,latin
rBwaN3XeaCQGUH1RLgo0tQ,2.5,89,chinese
bf72ckc4mWwcpqoZiFfVHA,4,86,chinese
RJjuozKTsgwPNa429tnxbg,4,84,chinese
ugXtAA14p4EoD42zMaF1Xw,3.5,89,american
tjDBlIQmwLy_JqMj7bT_3w,3,100,american
wAPk6QJV6NtXxNQgSd1dkA,3,81,japanese
6-M8QJXhNJAK92uJcWHfmg,2.5,90,japanese
AHIG8JTWYfSP_acvUUKL-Q,4,85,japanese
f_uf8paCL1pJ29ZI4AyiEg,4,91,italian
6hi9S4nLmAmk0KYr_EFNCQ,3.5,92,american
xO2V0wkXP3Na-mWhLo1ZxQ,4,83,french
WKJzi4g1OGp1nW_6ZJD_rQ,4,96,french
MaQ2_SBnZN7DjiqtMOUUsg,4,90,french
SIlvau33Tsp5IuEEmGf46A,4,85,italian
Wo-ruLEoNLGNGG7gTv7LoA,4,94,japanese
u2qFhVAiH3kQIGhEW6PmMA,4,74,japanese
gPMeR13r24uBVvWtp5MOWg,3.5,88,thai
hnoOXDcgN4xqLOU6lplGXg,4,86,american
COXn4BULAsOTirWRyyvrsA,3,100,american
Wi2c4gGu2W-QFBSumihRfg,4,96,viet
2PRgMkqX2dRrcuaJEi_1Rg,4,81,viet
Q4TlU84kFaPycqsFmQaLkw,3.5,92,italian
shGrK3zfITUUY4SsqKk_Bg,4,96,japanese
Kxwc8PIKy2JsegNwgBjAtA,4,94,japanese
jDudECH_txVOMojPkGK9vA,2.5,73,japanese
Y7pNK-ucWKJjfG1TzQjbAA,3.5,92,chinese
TykrtPTAlPO5k9qaaCBj4A,4,90,chinese
H1n4hE8uLFs_W1w-j7M2ow,4,92,chinese
Ug9a63OBRBje0796bFFPgA,4,84,french
8pZevgVXucZStPwUYPfAkQ,4,89,french
gVikx9Ad2aAVv0BXnJJPKw,3.5,90,french
I1MLJDLj7aXZI5Q1xJBSbw,3.5,94,american
MvAo0hj9FXOeNL5PwBZ0fQ,4,83,american
mDM7-ho67ePJXd5TodtCOg,4.5,100,italian
pG1pVDg_Krjx2-4OBb8m1Q,4,77,italian
vuYas7gLlshLOWw6GCnKFA,4,83,italian
X0tF-V3xRMux06pzayd_Uw,2.5,84,italian
SeXRih1jqC_GV1suD1bf-w,4,87,chinese
x2FfPtrPEYYFIK3RL1cf-g,3.5,83,chinese
wVswHX9M3IP0zWXIgLF-6w,4,79,chinese
gsf5yf5HS3h8Z8MHpJ4t3w,4,90,french
ZsQhaeLD3x-cP6AkGKs3PQ,3.5,98,french
dcnNyiZEsTgD1HWwNe749g,3,84,japanese
7zdRSvbg9zbp5tV9Y_-glQ,4,89,japanese
eu3UCrfFkTF73F0idXeJ5Q,3.5,68,chinese
LhK62UzwSDAr0eO--ikToA,3.5,88,medi
SyJBeBSQOfhTElMQLAO_SQ,4,96,medi
JdHEVcbbZjr4GR2m-69-yA,3.5,83,medi
ZiTRspDPY9T_kh4tQDwDMQ,4,90,medi
kTLg9WzrJIujIYWKcYBGSw,3,76,chinese
m6abLI3UD-As-Z5-J-HiyA,3.5,94,italian
TNygOlfp5YPvuDPobtTUMQ,3.5,92,italian
f7GbmIcePXbV7ZtQv4_JNg,3.5,92,french
eRft7qf6rgxuSptQnKEWzg,4,90,french
b1aZxd5Auo1f5rG9zgr0Ig,3.5,70,french
TkG9X1noKvdPMHd7sjkVig,3.5,86,french
-BWzndBhl6FG7oW3F-Zemg,3,76,chinese
U3s-sJmrxCWLvqvS3sHpEQ,4,88,latin
jHCtJJycHt5DLAlPjQ0PoA,4,96,latin
NcXfS-AbgTM9Hjfz2bmMRQ,3.5,86,medi
y1_s1xAC7eRK1ws3L92i-Q,4,91,medi
PmmrgKphGJfpeTqt-65AAg,4,86,latin
frKZTOHKDKDkrK5pePByPw,3.5,90,latin
RtXDJgw6ts1TAv9mwFNZGg,3.5,70,chinese
r0N9vb7G4Us8HEG20v4NkA,3.5,87,latin
eQHepA7u_mb-0TIb8t8EXQ,4,87,italian
JARsJVKLPgs_yC3cwDnp7g,4,87,latin
L-PBJJvUi_WfrD0uSpR5Jg,3.5,83,latin
EbBEbroBw1k_g5Aqokk0rA,4,83,latin
jnwvfL75CfMAENBAOlXUJQ,3.5,87,latin
6iR0zBfiup79DErYKAXY0Q,4,91,latin
VlNE3m59v836-t3V4ZaOWQ,3.5,92,latin
-mUqJ1wTUEC-_8qVR2NWHQ,3.5,74,thai
SEZpdigGSqVNWnyANNIMeA,4,82,thai
NmyTdXzHTSMXX3VKRrERIQ,3.5,72,chinese
_fskSC0Z0k27FrLj2OGI9Q,4,80,thai
Zx_VDLeaFdnMFkGyorDZtQ,4,85,american
VnU_7mWzHWhmiAPJoQeFeg,4,89,latin
0bOTdcDSINp0no-key6qaw,4.5,84,latin
0myyr8Sjx9KogDuuZy0R9A,4,98,latin
A6D6wG5y0sqpaqJjgc8QeQ,4,84,thai
_mWCUrUZf_ytJj2N87On2Q,4,90,latin
oFBA0gy9tyD89lmlLmb-Og,3,92,latin
FkmficKyZxewFcG5H2FcNg,4,98,japanese
8Z22EdDZNQ-FsPQticEV5Q,2.5,100,japanese
iGa7bnHGU3uWZWoq-KVWOA,3.5,94,japanese
tkLC24zVhWLCCFQp3NCKMw,4,92,japanese
7xHM9hJH0INQhRtqUnTx6g,4.5,90,japanese
_vQZbUY7s373Z17atFNtsg,3,88,japanese
n5LHxcE-fbgr9O4Unri_ug,3.5,73,american
41OVDdg2fu94A35utLTHxQ,3.5,65,american
CqhD3Ou25ygJPvweqFaZSw,3.5,79,chinese
yBwejh5N36gw4DOt49t3wg,3.5,74,chinese
4M1wrPcRWO1iOLsB8-ZuRg,4,94,chinese
ZWvXWUhJUBph9Ip1a2j-xw,4,94,chinese
0FU4AMHgNcElMtoXg0Li6Q,4,88,american
cseyjQ0XIp6dwC0_TcaMOg,3.5,96,japanese
msT3LrLB4fhN04HYHuFsew,4,73,italian
OU_Ld8rlL1eWeW5V_L6CCA,3.5,88,viet
eQ0wFQTrHrKDUun-v-hpBg,4,94,american
3IPHiyXfwdN7lwz5qqotJA,3.5,90,american
QZNRa98Xb0UNwg0GoqNyzw,3.5,90,thai
MmI91-KoLkfdMVQhaafvMQ,3.5,85,latin
smceLM-VDB5jkILB6OSSvg,4,96,italian
hSLhT8Che055WbkweNi-Ug,3.5,70,chinese
QE03EivHJZ8gbbAvFLMyIw,3.5,79,chinese
z044R1luJTuVtzUGUA9d-A,3.5,90,chinese
48jDL_PmclHPRW9txNrSDw,4,83,chinese
0v8I8LNHG7ABK9rJKJ46AA,4,77,chinese
3AfJM2V4SS5v3nVoJfo-wQ,3,77,chinese
g4vf4bYFhvSmkWZn3DMt-g,3.5,88,chinese
kd4Xqgpkkv5vftm2ayCWrA,4,78,japanese
i_OkjtKWm02Upc-PlcUrrg,4,100,american
Ux_bs6eZ7WqIsLepTw1uBw,3.5,87,chinese
rxY7canIJeXtICb6lprUcQ,4,96,american
qI4Jix1Ru5YZgF_MalHI1w,4,91,latin
uymg9f_cBIprwMWOqzHGhQ,3.5,85,latin
BMlbJybqNRBUrpXsbSR9cA,3.5,90,american
dNyfcHW9qlAo9V4Raa5EwA,4,88,chinese
CgrDoK7B3fXp0Og5eAd30Q,3.5,73,chinese
0w6dNMrpBQFLxhVYqx_J5Q,3.5,80,chinese
aosv00cXSYlT9FqFnrV2Fw,3.5,85,chinese
yNU6sPRWzVl0ngCRqat1TQ,4,94,chinese
_mdxYZT1RDtKTZcYz9mo8g,4,96,italian
KewsTgYKXUPuUU_X1I3O6w,3.5,90,italian
qtH79N3gbcOe4ToQWBckuQ,3.5,84,japanese
ZtFGuS4Z3rZ-J3Abw4V-oA,4,85,italian
Rj7h0U3Qm8NABv7IdBremg,3.5,98,italian
-QCX1EAgUQBBrbddDkPK8g,3.5,92,italian
1iO6SaWry8C6i_n4cFsxCw,3.5,88,latin
lyFzzkaq7NZ_qW1a68KT6Q,3.5,78,indian
1dwJK21zm7cuhUKdROWJXQ,4,83,latin
h0xVRPUZiVhM6UR5VIu0SQ,3.5,78,latin
I_HROMlTfLb01M5R_qafyA,4,79,chinese
vTGaPVLF8saopNqIkHRlzw,3,90,japanese
HL4vi-tSyYvGIex_CsOcNQ,3,88,chinese
iMsButW1ZqSssl_a9-UFXA,4,86,korean
pXV02Lj-jWt6rgHRQzJmqA,3,81,chinese
7HHq6MKpWcZqUgwsQaBSZw,4,85,chinese
